backtest_timerange,profit_total_abs,train_period_days,backtest_period_days,test_size,timeframe,leverage,target_shifted_candles,container_name,key,trades,profit_mean,profit_mean_pct,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs
20250131-20250301,-51.90732585,60,30,0.03,1h,5,10,set-bull-tapir,AwesomeMacdFreqAi,22,-0.05931153510223439,-5.93,-0.25953662925,-25.95,10:00:00,5,0,17,0.22727272727272727,-0.9772204544914507,-2.3594239022727272,-0.6521313874704568,-14.515216465821123,-10.714562591610868,-65.87921784325101,-3.3878,0.15606526327352652,0.25953662925000004,51.907
20250131-20250301,-24.53536071,32,30,0.03,1h,5,10,proper-martin-hog,AwesomeMacdFreqAi,8,-0.07602296111388143,-7.6,-0.12267680354999999,-12.27,10:00:00,2,0,6,0.25,-0.8074271224639107,-3.06692008875,-0.7194501195289102,-6.859565314958307,-5.55845695184713,-64.814985435238,-2.7904,0.04073317396145293,0.1246911005396955,24.996
20250131-20250301,-9.560596069999999,34,30,0.03,1h,5,10,moved-mantis-owl,AwesomeMacdFreqAi,12,-0.017623408441516598,-1.76,-0.047802980349999996,-4.78,10:00:00,6,0,6,0.5,-0.4601770705841586,-0.796716339166667,-0.20876055538977434,-2.4365516302375276,-1.6062264831958282,-37.29413785562467,-0.6739,0.5824788892204514,0.0844428410766797,16.931
20250131-20250301,-23.996650870000003,52,30,0.03,1h,5,10,model-asp-gibbon,AwesomeMacdFreqAi,16,-0.035627657356118045,-3.56,-0.11998325435000001,-12.0,10:00:00,5,0,11,0.3125,-0.7998519146361529,-1.4997906793749998,-0.4330077255557744,-7.545950421340332,-4.400429969393048,-51.22705484606371,-1.6169,0.37017058100978273,0.15430133499999996,30.86
20250302-20250331,-15.972460330000004,30,30,0.03,1h,5,10,pumped-wahoo-frog,AwesomeMacdFreqAi,14,-0.03010275469442601,-3.01,-0.07986230165000002,-7.99,10:00:00,4,0,10,0.2857142857142857,-0.6492124530698892,-1.1408900235714285,-0.46361277967333125,-6.413924334838924,-4.00710307393498,-50.49859512748066,-1.5665,0.3509421084573363,0.10418638290000004,20.837
20250302-20250331,-10.925920230000001,48,30,0.03,1h,5,10,flying-spider-serval,AwesomeMacdFreqAi,20,-0.012722918493378968,-1.27,-0.054629601150000005,-5.46,9:33:00,7,0,13,0.35,-0.50691508064619,-0.5462960115000001,-0.2602785078980586,-4.150580720202677,-2.6055363790405703,-32.45484051659121,-0.862,0.5995715263106791,0.11089117486221967,22.811
20250302-20250331,-5.9718789,44,30,0.03,1h,5,10,needed-liger-lamb,AwesomeMacdFreqAi,24,-0.0032741792030051057,-0.33,-0.0298593945,-2.99,9:38:00,8,0,16,0.3333333333333333,-0.31719201724988244,-0.24882828749999986,-0.12674479117427084,-2.417400164349657,-1.2720437714837531,-18.769384360134886,-0.3858,0.8098828132385939,0.10480437275881622,21.992
20250302-20250331,-15.959657530000001,32,30,0.03,1h,5,10,simple-grub-kitten,AwesomeMacdFreqAi,16,-0.02631802224945358,-2.63,-0.07979828765000001,-7.98,10:00:00,4,0,12,0.25,-0.6489051717108179,-0.9974785956250003,-0.48665641273967375,-6.179691404652152,-4.280786898759127,-50.489139184507714,-1.5729,0.35112478301376837,0.10412236890000003,20.824
20250302-20250331,1.7477955199999988,56,30,0.03,1h,5,10,proud-hound-molly,AwesomeMacdFreqAi,25,0.004155143272378554,0.42,0.008738977599999994,0.87,10:00:00,11,0,14,0.44,0.11573430682097108,0.0699118207999998,0.03633010064794506,0.7104732830110364,0.3885933970272047,8.409596796138748,0.1156,1.0648751797284732,0.06845952582435702,14.363
20250302-20250331,-9.33962827,54,30,0.03,1h,5,10,pet-burro-gnu,AwesomeMacdFreqAi,22,-0.009616016462706302,-0.96,-0.04669814135,-4.67,10:00:00,9,0,13,0.4090909090909091,-0.4522403747442997,-0.42452855772727294,-0.18657100590670272,-3.395423537836115,-2.1828617100892873,-29.643700458283288,-0.6902,0.6842644515425033,0.10378046530327611,21.348
